"Access","StartTime","StopTime","Duration"
309,21 Jun 2022 13:03:30.658,21 Jun 2022 13:08:17.742,287.084
310,21 Jun 2022 14:39:28.032,21 Jun 2022 14:45:58.924,390.892
311,21 Jun 2022 16:15:12.921,21 Jun 2022 16:22:57.319,464.398
312,21 Jun 2022 17:50:50.613,21 Jun 2022 17:58:59.262,488.650
313,21 Jun 2022 19:26:20.384,21 Jun 2022 19:34:07.205,466.821
314,21 Jun 2022 21:01:37.468,21 Jun 2022 21:08:35.738,418.270
315,21 Jun 2022 22:36:32.895,21 Jun 2022 22:42:51.237,378.342
316,22 Jun 2022 00:11:00.927,22 Jun 2022 00:17:23.097,382.171
317,22 Jun 2022 01:45:16.362,22 Jun 2022 01:52:22.439,426.077
318,22 Jun 2022 03:19:49.428,22 Jun 2022 03:27:41.926,472.497
319,22 Jun 2022 04:55:04.888,22 Jun 2022 05:03:13.092,488.204
320,22 Jun 2022 06:31:15.516,22 Jun 2022 06:38:51.819,456.302
321,22 Jun 2022 08:08:21.773,22 Jun 2022 08:14:38.023,376.250
322,22 Jun 2022 09:46:06.614,22 Jun 2022 09:50:38.582,271.967
323,22 Jun 2022 11:23:40.408,22 Jun 2022 11:27:20.170,219.763
324,22 Jun 2022 13:00:13.401,22 Jun 2022 13:05:00.062,286.662
325,22 Jun 2022 14:36:10.854,22 Jun 2022 14:42:41.358,390.504
326,22 Jun 2022 16:11:55.777,22 Jun 2022 16:19:39.970,464.193
327,22 Jun 2022 17:47:33.497,22 Jun 2022 17:55:42.150,488.652
328,22 Jun 2022 19:23:03.308,22 Jun 2022 19:30:50.292,466.984
329,22 Jun 2022 20:58:20.460,22 Jun 2022 21:05:18.940,418.480
330,22 Jun 2022 22:33:15.996,22 Jun 2022 22:39:34.429,378.432
331,23 Jun 2022 00:07:44.128,23 Jun 2022 00:14:06.181,382.053
332,23 Jun 2022 01:41:59.556,23 Jun 2022 01:49:05.418,425.863
333,23 Jun 2022 03:16:32.490,23 Jun 2022 03:24:24.843,472.352
334,23 Jun 2022 04:51:47.742,23 Jun 2022 04:59:55.972,488.231
335,23 Jun 2022 06:27:58.133,23 Jun 2022 06:35:34.671,456.538
336,23 Jun 2022 08:05:04.180,23 Jun 2022 08:11:20.838,376.658
337,23 Jun 2022 09:42:48.936,23 Jun 2022 09:47:21.303,272.367
338,23 Jun 2022 11:20:22.919,23 Jun 2022 11:24:02.640,219.721
339,23 Jun 2022 12:56:56.142,23 Jun 2022 13:01:42.383,286.241
340,23 Jun 2022 14:32:53.676,23 Jun 2022 14:39:23.791,390.115
341,23 Jun 2022 16:08:38.633,23 Jun 2022 16:16:22.620,463.987
342,23 Jun 2022 17:44:16.382,23 Jun 2022 17:52:25.036,488.654
343,23 Jun 2022 19:19:46.232,23 Jun 2022 19:27:33.379,467.147
344,23 Jun 2022 20:55:03.452,23 Jun 2022 21:02:02.143,418.691
345,23 Jun 2022 22:29:59.097,23 Jun 2022 22:36:17.620,378.523
346,24 Jun 2022 00:04:27.329,24 Jun 2022 00:10:49.264,381.935
347,24 Jun 2022 01:38:42.749,24 Jun 2022 01:45:48.398,425.649
